Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1373 - - 29.80 42.32 55.55 12.41 45.35 36.17 1:16.08 2:49.11
1372 - 19.06 29.81 42.34 55.57 - 45.37 36.18 1:16.10 2:49.17
1371 - 19.07 29.82 42.35 55.58 12.42 45.39 36.19 1:16.13 2:49.23
1370 9.54 - 29.83 42.36 55.60 - 45.40 36.20 1:16.15 2:49.29
1369 - 19.08 29.84 42.38 55.62 12.43 45.42 36.21 1:16.18 2:49.35
1368 - - 29.85 42.39 55.64 - 45.44 36.23 1:16.20 2:49.41
1367 9.55 19.09 29.86 42.40 55.66 12.44 45.46 36.24 1:16.23 2:49.47
1366 - 19.10 29.87 42.42 55.67 - 45.48 36.25 1:16.25 2:49.53
1365 - - 29.88 42.43 55.69 12.45 45.49 36.26 1:16.28 2:49.59
1364 - 19.11 29.89 42.44 55.71 - 45.51 36.28 1:16.30 2:49.65
1363 9.56 - 29.90 42.46 55.73 12.46 45.53 36.29 1:16.33 2:49.71
1362 - 19.12 29.91 42.47 55.74 - 45.55 36.30 1:16.35 2:49.77
1361 - 19.13 29.92 42.48 55.76 12.47 45.57 36.31 1:16.38 2:49.83
1360 - - 29.93 42.50 55.78 - 45.59 36.32 1:16.40 2:49.89
1359 9.57 19.14 29.94 42.51 55.80 12.48 45.61 36.34 1:16.43 2:49.95
1358 - - 29.95 42.52 55.81 - 45.62 36.35 1:16.45 2:50.01
1357 - 19.15 29.96 42.54 55.83 12.49 45.64 36.36 1:16.48 2:50.07
1356 9.58 19.16 29.97 42.55 55.85 - 45.66 36.37 1:16.50 2:50.13
1355 - - 29.98 42.57 55.87 - 45.68 36.38 1:16.53 2:50.19
1354 - 19.17 29.99 42.58 55.89 12.50 45.70 36.40 1:16.55 2:50.25
1353 - 19.18 30.00 42.59 55.90 - 45.72 36.41 1:16.58 2:50.31
1352 9.59 - 30.01 42.61 55.92 12.51 45.73 36.42 1:16.60 2:50.37
1351 - 19.19 30.02 42.62 55.94 - 45.75 36.43 1:16.63 2:50.43
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
3
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- - 30.03 42.63 55.96 12.52 45.77 36.45 1:16.65 2:50.49 1350
- 19.20 30.04 42.65 55.97 - 45.79 36.46 1:16.68 2:50.55 1349
9.60 19.21 30.05 42.66 55.99 12.53 45.81 36.47 1:16.70 2:50.61 1348
- - 30.06 42.67 56.01 - 45.83 36.48 1:16.73 2:50.68 1347
- 19.22 30.07 42.69 56.03 12.54 45.84 36.50 1:16.75 2:50.74 1346
9.61 - 30.08 42.70 56.05 - 45.86 36.51 1:16.78 2:50.80 1345
- 19.23 30.09 42.71 56.06 12.55 45.88 36.52 1:16.80 2:50.86 1344
- 19.24 30.10 42.73 56.08 - 45.90 36.53 1:16.83 2:50.92 1343
- - 30.11 42.74 56.10 12.56 45.92 36.54 1:16.85 2:50.98 1342
9.62 19.25 30.12 42.75 56.12 - 45.94 36.56 1:16.88 2:51.04 1341
- - 30.14 42.77 56.13 12.57 45.95 36.57 1:16.90 2:51.10 1340
- 19.26 30.15 42.78 56.15 - 45.97 36.58 1:16.93 2:51.16 1339
- 19.27 30.16 42.79 56.17 12.58 45.99 36.59 1:16.95 2:51.22 1338
9.63 - 30.17 42.81 56.19 - 46.01 36.61 1:16.98 2:51.28 1337
- 19.28 30.18 42.82 56.21 12.59 46.03 36.62 1:17.00 2:51.34 1336
- - 30.19 42.84 56.22 - 46.05 36.63 1:17.03 2:51.40 1335
9.64 19.29 30.20 42.85 56.24 12.60 46.07 36.64 1:17.05 2:51.47 1334
- 19.30 30.21 42.86 56.26 - 46.08 36.65 1:17.08 2:51.53 1333
- - 30.22 42.88 56.28 12.61 46.10 36.67 1:17.10 2:51.59 1332
- 19.31 30.23 42.89 56.30 - 46.12 36.68 1:17.13 2:51.65 1331
9.65 - 30.24 42.90 56.31 12.62 46.14 36.69 1:17.15 2:51.71 1330
- 19.32 30.25 42.92 56.33 - 46.16 36.70 1:17.18 2:51.77 1329
- 19.33 30.26 42.93 56.35 12.63 46.18 36.72 1:17.20 2:51.83 1328
- - 30.27 42.94 56.37 - 46.20 36.73 1:17.23 2:51.89 1327
9.66 19.34 30.28 42.96 56.39 12.64 46.21 36.74 1:17.25 2:51.95 1326
- - 30.29 42.97 56.40 - 46.23 36.75 1:17.28 2:52.01 1325
- 19.35 30.30 42.98 56.42 12.65 46.25 36.77 1:17.30 2:52.08 1324
9.67 19.36 30.31 43.00 56.44 - 46.27 36.78 1:17.33 2:52.14 1323
- - 30.32 43.01 56.46 12.66 46.29 36.79 1:17.35 2:52.20 1322
- 19.37 30.33 43.03 56.48 - 46.31 36.80 1:17.38 2:52.26 1321
- 19.38 30.34 43.04 56.49 12.67 46.33 36.82 1:17.40 2:52.32 1320
9.68 - 30.35 43.05 56.51 - 46.34 36.83 1:17.43 2:52.38 1319
- 19.39 30.36 43.07 56.53 12.68 46.36 36.84 1:17.45 2:52.44 1318
- - 30.37 43.08 56.55 - 46.38 36.85 1:17.48 2:52.50 1317
9.69 19.40 30.38 43.09 56.57 12.69 46.40 36.86 1:17.50 2:52.57 1316
- 19.41 30.39 43.11 56.58 - 46.42 36.88 1:17.53 2:52.63 1315
- - 30.40 43.12 56.60 12.70 46.44 36.89 1:17.55 2:52.69 1314
- 19.42 30.41 43.13 56.62 - 46.46 36.90 1:17.58 2:52.75 1313
9.70 - 30.42 43.15 56.64 12.71 46.48 36.91 1:17.61 2:52.81 1312
- 19.43 30.43 43.16 56.66 - 46.49 36.93 1:17.63 2:52.87 1311
- 19.44 30.44 43.18 56.67 12.72 46.51 36.94 1:17.66 2:52.93 1310
- - 30.45 43.19 56.69 - 46.53 36.95 1:17.68 2:53.00 1309
9.71 19.45 30.46 43.20 56.71 12.73 46.55 36.96 1:17.71 2:53.06 1308
- - 30.47 43.22 56.73 - 46.57 36.98 1:17.73 2:53.12 1307
- 19.46 30.48 43.23 56.75 12.74 46.59 36.99 1:17.76 2:53.18 1306
9.72 19.47 30.49 43.24 56.76 - 46.61 37.00 1:17.78 2:53.24 1305
- - 30.50 43.26 56.78 12.75 46.62 37.01 1:17.81 2:53.30 1304
- 19.48 30.51 43.27 56.80 - 46.64 37.03 1:17.83 2:53.37 1303
- 19.49 30.52 43.28 56.82 12.76 46.66 37.04 1:17.86 2:53.43 1302
9.73 - 30.53 43.30 56.84 - 46.68 37.05 1:17.88 2:53.49 1301
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
4
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1300 - 19.50 30.54 43.31 56.85 12.77 46.70 37.06 1:17.91 2:53.55
1299 - - 30.55 43.33 56.87 - 46.72 37.08 1:17.94 2:53.61
1298 9.74 19.51 30.56 43.34 56.89 12.78 46.74 37.09 1:17.96 2:53.67
1297 - 19.52 30.57 43.35 56.91 - 46.76 37.10 1:17.99 2:53.74
1296 - - 30.58 43.37 56.93 12.79 46.78 37.11 1:18.01 2:53.80
1295 - 19.53 30.59 43.38 56.95 - 46.79 37.13 1:18.04 2:53.86
1294 9.75 - 30.60 43.39 56.96 12.80 46.81 37.14 1:18.06 2:53.92
1293 - 19.54 30.61 43.41 56.98 - 46.83 37.15 1:18.09 2:53.98
1292 - 19.55 30.62 43.42 57.00 12.81 46.85 37.16 1:18.11 2:54.04
1291 9.76 - 30.63 43.44 57.02 - 46.87 37.18 1:18.14 2:54.11
1290 - 19.56 30.64 43.45 57.04 12.82 46.89 37.19 1:18.16 2:54.17
1289 - 19.57 30.66 43.46 57.05 - 46.91 37.20 1:18.19 2:54.23
1288 - - 30.67 43.48 57.07 12.83 46.93 37.21 1:18.22 2:54.29
1287 9.77 19.58 30.68 43.49 57.09 - 46.94 37.23 1:18.24 2:54.35
1286 - - 30.69 43.50 57.11 12.84 46.96 37.24 1:18.27 2:54.42
1285 - 19.59 30.70 43.52 57.13 - 46.98 37.25 1:18.29 2:54.48
1284 - 19.60 30.71 43.53 57.15 12.85 47.00 37.26 1:18.32 2:54.54
1283 9.78 - 30.72 43.55 57.16 - 47.02 37.28 1:18.34 2:54.60
1282 - 19.61 30.73 43.56 57.18 12.86 47.04 37.29 1:18.37 2:54.66
1281 - 19.62 30.74 43.57 57.20 - 47.06 37.30 1:18.39 2:54.73
1280 9.79 - 30.75 43.59 57.22 12.87 47.08 37.31 1:18.42 2:54.79
1279 - 19.63 30.76 43.60 57.24 - 47.10 37.33 1:18.45 2:54.85
1278 - - 30.77 43.62 57.26 12.88 47.11 37.34 1:18.47 2:54.91
1277 - 19.64 30.78 43.63 57.27 - 47.13 37.35 1:18.50 2:54.98
1276 9.80 19.65 30.79 43.64 57.29 12.89 47.15 37.36 1:18.52 2:55.04
1275 - - 30.80 43.66 57.31 - 47.17 37.38 1:18.55 2:55.10
1274 - 19.66 30.81 43.67 57.33 12.90 47.19 37.39 1:18.57 2:55.16
1273 9.81 - 30.82 43.68 57.35 - 47.21 37.40 1:18.60 2:55.22
1272 - 19.67 30.83 43.70 57.36 12.91 47.23 37.42 1:18.63 2:55.29
1271 - 19.68 30.84 43.71 57.38 - 47.25 37.43 1:18.65 2:55.35
1270 - - 30.85 43.73 57.40 12.92 47.27 37.44 1:18.68 2:55.41
1269 9.82 19.69 30.86 43.74 57.42 - 47.29 37.45 1:18.70 2:55.47
1268 - 19.70 30.87 43.75 57.44 12.93 47.30 37.47 1:18.73 2:55.54
1267 - - 30.88 43.77 57.46 - 47.32 37.48 1:18.75 2:55.60
1266 9.83 19.71 30.89 43.78 57.48 12.94 47.34 37.49 1:18.78 2:55.66
1265 - - 30.90 43.80 57.49 - 47.36 37.50 1:18.81 2:55.72
1264 - 19.72 30.91 43.81 57.51 12.95 47.38 37.52 1:18.83 2:55.79
1263 - 19.73 30.92 43.82 57.53 - 47.40 37.53 1:18.86 2:55.85
1262 9.84 - 30.93 43.84 57.55 12.96 47.42 37.54 1:18.88 2:55.91
1261 - 19.74 30.94 43.85 57.57 - 47.44 37.55 1:18.91 2:55.98
1260 - 19.75 30.96 43.87 57.59 12.97 47.46 37.57 1:18.93 2:56.04
1259 9.85 - 30.97 43.88 57.60 - 47.48 37.58 1:18.96 2:56.10
1258 - 19.76 30.98 43.89 57.62 12.98 47.49 37.59 1:18.99 2:56.16
1257 - - 30.99 43.91 57.64 - 47.51 37.60 1:19.01 2:56.23
1256 - 19.77 31.00 43.92 57.66 12.99 47.53 37.62 1:19.04 2:56.29
1255 9.86 19.78 31.01 43.94 57.68 13.00 47.55 37.63 1:19.06 2:56.35
1254 - - 31.02 43.95 57.70 - 47.57 37.64 1:19.09 2:56.41
1253 - 19.79 31.03 43.96 57.71 13.01 47.59 37.66 1:19.12 2:56.48
1252 9.87 19.80 31.04 43.98 57.73 - 47.61 37.67 1:19.14 2:56.54
1251 - - 31.05 43.99 57.75 13.02 47.63 37.68 1:19.17 2:56.60
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
5
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 19.81 31.06 44.01 57.77 - 47.65 37.69 1:19.19 2:56.67 1250
- - 31.07 44.02 57.79 13.03 47.67 37.71 1:19.22 2:56.73 1249
9.88 19.82 31.08 44.03 57.81 - 47.69 37.72 1:19.25 2:56.79 1248
- 19.83 31.09 44.05 57.83 13.04 47.71 37.73 1:19.27 2:56.85 1247
- - 31.10 44.06 57.84 - 47.72 37.74 1:19.30 2:56.92 1246
9.89 19.84 31.11 44.08 57.86 13.05 47.74 37.76 1:19.32 2:56.98 1245
- 19.85 31.12 44.09 57.88 - 47.76 37.77 1:19.35 2:57.04 1244
- - 31.13 44.10 57.90 13.06 47.78 37.78 1:19.37 2:57.11 1243
- 19.86 31.14 44.12 57.92 - 47.80 37.80 1:19.40 2:57.17 1242
9.90 19.87 31.15 44.13 57.94 13.07 47.82 37.81 1:19.43 2:57.23 1241
- - 31.16 44.15 57.96 - 47.84 37.82 1:19.45 2:57.30 1240
- 19.88 31.17 44.16 57.97 13.08 47.86 37.83 1:19.48 2:57.36 1239
9.91 - 31.19 44.17 57.99 - 47.88 37.85 1:19.50 2:57.42 1238
- 19.89 31.20 44.19 58.01 13.09 47.90 37.86 1:19.53 2:57.49 1237
- 19.90 31.21 44.20 58.03 - 47.92 37.87 1:19.56 2:57.55 1236
- - 31.22 44.22 58.05 13.10 47.94 37.89 1:19.58 2:57.61 1235
9.92 19.91 31.23 44.23 58.07 - 47.95 37.90 1:19.61 2:57.68 1234
- 19.92 31.24 44.24 58.09 13.11 47.97 37.91 1:19.64 2:57.74 1233
- - 31.25 44.26 58.10 - 47.99 37.92 1:19.66 2:57.80 1232
9.93 19.93 31.26 44.27 58.12 13.12 48.01 37.94 1:19.69 2:57.87 1231
- - 31.27 44.29 58.14 - 48.03 37.95 1:19.71 2:57.93 1230
- 19.94 31.28 44.30 58.16 13.13 48.05 37.96 1:19.74 2:57.99 1229
- 19.95 31.29 44.31 58.18 - 48.07 37.97 1:19.77 2:58.06 1228
9.94 - 31.30 44.33 58.20 13.14 48.09 37.99 1:19.79 2:58.12 1227
- 19.96 31.31 44.34 58.22 - 48.11 38.00 1:19.82 2:58.18 1226
- 19.97 31.32 44.36 58.23 13.15 48.13 38.01 1:19.84 2:58.25 1225
9.95 - 31.33 44.37 58.25 - 48.15 38.03 1:19.87 2:58.31 1224
- 19.98 31.34 44.39 58.27 13.16 48.17 38.04 1:19.90 2:58.37 1223
- 19.99 31.35 44.40 58.29 - 48.19 38.05 1:19.92 2:58.44 1222
- - 31.36 44.41 58.31 13.17 48.21 38.06 1:19.95 2:58.50 1221
9.96 20.00 31.38 44.43 58.33 - 48.23 38.08 1:19.98 2:58.57 1220
- - 31.39 44.44 58.35 13.18 48.24 38.09 1:20.00 2:58.63 1219
- 20.01 31.40 44.46 58.37 13.19 48.26 38.10 1:20.03 2:58.69 1218
9.97 20.02 31.41 44.47 58.38 - 48.28 38.12 1:20.05 2:58.76 1217
- - 31.42 44.48 58.40 13.20 48.30 38.13 1:20.08 2:58.82 1216
- 20.03 31.43 44.50 58.42 - 48.32 38.14 1:20.11 2:58.88 1215
- 20.04 31.44 44.51 58.44 13.21 48.34 38.15 1:20.13 2:58.95 1214
9.98 - 31.45 44.53 58.46 - 48.36 38.17 1:20.16 2:59.01 1213
- 20.05 31.46 44.54 58.48 13.22 48.38 38.18 1:20.19 2:59.08 1212
- 20.06 31.47 44.56 58.50 - 48.40 38.19 1:20.21 2:59.14 1211
9.99 - 31.48 44.57 58.52 13.23 48.42 38.21 1:20.24 2:59.20 1210
- 20.07 31.49 44.58 58.53 - 48.44 38.22 1:20.26 2:59.27 1209
- - 31.50 44.60 58.55 13.24 48.46 38.23 1:20.29 2:59.33 1208
- 20.08 31.51 44.61 58.57 - 48.48 38.25 1:20.32 2:59.40 1207
10.00 20.09 31.52 44.63 58.59 13.25 48.50 38.26 1:20.34 2:59.46 1206
- - 31.53 44.64 58.61 - 48.52 38.27 1:20.37 2:59.52 1205
- 20.10 31.54 44.65 58.63 13.26 48.54 38.28 1:20.40 2:59.59 1204
10.01 20.11 31.56 44.67 58.65 - 48.56 38.30 1:20.42 2:59.65 1203
- - 31.57 44.68 58.67 13.27 48.58 38.31 1:20.45 2:59.72 1202
- 20.12 31.58 44.70 58.69 - 48.59 38.32 1:20.48 2:59.78 1201
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
6
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1200 - 20.13 31.59 44.71 58.70 13.28 48.61 38.34 1:20.50 2:59.84
1199 10.02 - 31.60 44.73 58.72 - 48.63 38.35 1:20.53 2:59.91
1198 - 20.14 31.61 44.74 58.74 13.29 48.65 38.36 1:20.56 2:59.97
1197 - - 31.62 44.75 58.76 - 48.67 38.38 1:20.58 3:00.04
1196 10.03 20.15 31.63 44.77 58.78 13.30 48.69 38.39 1:20.61 3:00.10
1195 - 20.16 31.64 44.78 58.80 - 48.71 38.40 1:20.63 3:00.17
1194 - - 31.65 44.80 58.82 13.31 48.73 38.41 1:20.66 3:00.23
1193 10.04 20.17 31.66 44.81 58.84 13.32 48.75 38.43 1:20.69 3:00.29
1192 - 20.18 31.67 44.83 58.86 - 48.77 38.44 1:20.71 3:00.36
1191 - - 31.68 44.84 58.87 13.33 48.79 38.45 1:20.74 3:00.42
1190 - 20.19 31.69 44.86 58.89 - 48.81 38.47 1:20.77 3:00.49
1189 10.05 20.20 31.71 44.87 58.91 13.34 48.83 38.48 1:20.79 3:00.55
1188 - - 31.72 44.88 58.93 - 48.85 38.49 1:20.82 3:00.62
1187 - 20.21 31.73 44.90 58.95 13.35 48.87 38.51 1:20.85 3:00.68
1186 10.06 20.22 31.74 44.91 58.97 - 48.89 38.52 1:20.87 3:00.75
1185 - - 31.75 44.93 58.99 13.36 48.91 38.53 1:20.90 3:00.81
1184 - 20.23 31.76 44.94 59.01 - 48.93 38.54 1:20.93 3:00.88
1183 - - 31.77 44.96 59.03 13.37 48.95 38.56 1:20.95 3:00.94
1182 10.07 20.24 31.78 44.97 59.04 - 48.97 38.57 1:20.98 3:01.00
1181 - 20.25 31.79 44.98 59.06 13.38 48.99 38.58 1:21.01 3:01.07
1180 - - 31.80 45.00 59.08 - 49.01 38.60 1:21.03 3:01.13
1179 10.08 20.26 31.81 45.01 59.10 13.39 49.03 38.61 1:21.06 3:01.20
1178 - 20.27 31.82 45.03 59.12 - 49.05 38.62 1:21.09 3:01.26
1177 - - 31.83 45.04 59.14 13.40 49.07 38.64 1:21.11 3:01.33
1176 10.09 20.28 31.84 45.06 59.16 - 49.09 38.65 1:21.14 3:01.39
1175 - 20.29 31.86 45.07 59.18 13.41 49.11 38.66 1:21.17 3:01.46
1174 - - 31.87 45.09 59.20 13.42 49.12 38.68 1:21.19 3:01.52
1173 - 20.30 31.88 45.10 59.22 - 49.14 38.69 1:21.22 3:01.59
1172 10.10 20.31 31.89 45.11 59.24 13.43 49.16 38.70 1:21.25 3:01.65
1171 - - 31.90 45.13 59.25 - 49.18 38.71 1:21.27 3:01.72
1170 - 20.32 31.91 45.14 59.27 13.44 49.20 38.73 1:21.30 3:01.78
1169 10.11 20.33 31.92 45.16 59.29 - 49.22 38.74 1:21.33 3:01.85
1168 - - 31.93 45.17 59.31 13.45 49.24 38.75 1:21.35 3:01.91
1167 - 20.34 31.94 45.19 59.33 - 49.26 38.77 1:21.38 3:01.98
1166 - - 31.95 45.20 59.35 13.46 49.28 38.78 1:21.41 3:02.04
1165 10.12 20.35 31.96 45.22 59.37 - 49.30 38.79 1:21.44 3:02.11
1164 - 20.36 31.97 45.23 59.39 13.47 49.32 38.81 1:21.46 3:02.17
1163 - - 31.99 45.24 59.41 - 49.34 38.82 1:21.49 3:02.24
1162 10.13 20.37 32.00 45.26 59.43 13.48 49.36 38.83 1:21.52 3:02.30
1161 - 20.38 32.01 45.27 59.45 - 49.38 38.85 1:21.54 3:02.37
1160 - - 32.02 45.29 59.47 13.49 49.40 38.86 1:21.57 3:02.44
1159 10.14 20.39 32.03 45.30 59.48 - 49.42 38.87 1:21.60 3:02.50
1158 - 20.40 32.04 45.32 59.50 13.50 49.44 38.89 1:21.62 3:02.57
1157 - - 32.05 45.33 59.52 - 49.46 38.90 1:21.65 3:02.63
1156 - 20.41 32.06 45.35 59.54 13.51 49.48 38.91 1:21.68 3:02.70
1155 10.15 20.42 32.07 45.36 59.56 13.52 49.50 38.93 1:21.70 3:02.76
1154 - - 32.08 45.38 59.58 - 49.52 38.94 1:21.73 3:02.83
1153 - 20.43 32.09 45.39 59.60 13.53 49.54 38.95 1:21.76 3:02.89
1152 10.16 20.44 32.10 45.40 59.62 - 49.56 38.97 1:21.79 3:02.96
1151 - - 32.12 45.42 59.64 13.54 49.58 38.98 1:21.81 3:03.02
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
7
100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m Points
- 20.45 32.13 45.43 59.66 - 49.60 38.99 1:21.84 3:03.09 1150
- 20.46 32.14 45.45 59.68 13.55 49.62 39.01 1:21.87 3:03.16 1149
10.17 - 32.15 45.46 59.70 - 49.64 39.02 1:21.89 3:03.22 1148
- 20.47 32.16 45.48 59.72 13.56 49.66 39.03 1:21.92 3:03.29 1147
- 20.48 32.17 45.49 59.73 - 49.68 39.05 1:21.95 3:03.35 1146
10.18 - 32.18 45.51 59.75 13.57 49.70 39.06 1:21.97 3:03.42 1145
- 20.49 32.19 45.52 59.77 - 49.72 39.07 1:22.00 3:03.48 1144
- 20.50 32.20 45.54 59.79 13.58 49.74 39.09 1:22.03 3:03.55 1143
10.19 - 32.21 45.55 59.81 - 49.76 39.10 1:22.06 3:03.62 1142
- 20.51 32.23 45.57 59.83 13.59 49.78 39.11 1:22.08 3:03.68 1141
- - 32.24 45.58 59.85 13.60 49.80 39.13 1:22.11 3:03.75 1140
- 20.52 32.25 45.59 59.87 - 49.82 39.14 1:22.14 3:03.81 1139
10.20 20.53 32.26 45.61 59.89 13.61 49.84 39.15 1:22.16 3:03.88 1138
- - 32.27 45.62 59.91 - 49.86 39.17 1:22.19 3:03.95 1137
- 20.54 32.28 45.64 59.93 13.62 49.88 39.18 1:22.22 3:04.01 1136
10.21 20.55 32.29 45.65 59.95 - 49.90 39.19 1:22.25 3:04.08 1135
- - 32.30 45.67 59.97 13.63 49.92 39.21 1:22.27 3:04.14 1134
- 20.56 32.31 45.68 59.99 - 49.94 39.22 1:22.30 3:04.21 1133
10.22 20.57 32.32 45.70 1:00.01 13.64 49.96 39.23 1:22.33 3:04.28 1132
- - 32.33 45.71 1:00.03 - 49.98 39.25 1:22.35 3:04.34 1131
- 20.58 32.35 45.73 1:00.04 13.65 50.00 39.26 1:22.38 3:04.41 1130
- 20.59 32.36 45.74 1:00.06 - 50.02 39.27 1:22.41 3:04.47 1129
10.23 - 32.37 45.76 1:00.08 13.66 50.04 39.29 1:22.44 3:04.54 1128
- 20.60 32.38 45.77 1:00.10 13.67 50.06 39.30 1:22.46 3:04.61 1127
- 20.61 32.39 45.79 1:00.12 - 50.08 39.31 1:22.49 3:04.67 1126
10.24 - 32.40 45.80 1:00.14 13.68 50.10 39.33 1:22.52 3:04.74 1125
- 20.62 32.41 45.82 1:00.16 - 50.12 39.34 1:22.55 3:04.81 1124
- 20.63 32.42 45.83 1:00.18 13.69 50.14 39.35 1:22.57 3:04.87 1123
10.25 - 32.43 45.84 1:00.20 - 50.16 39.37 1:22.60 3:04.94 1122
- 20.64 32.44 45.86 1:00.22 13.70 50.18 39.38 1:22.63 3:05.01 1121
- 20.65 32.46 45.87 1:00.24 - 50.20 39.39 1:22.66 3:05.07 1120
- - 32.47 45.89 1:00.26 13.71 50.22 39.41 1:22.68 3:05.14 1119
10.26 20.66 32.48 45.90 1:00.28 - 50.24 39.42 1:22.71 3:05.20 1118
- 20.67 32.49 45.92 1:00.30 13.72 50.26 39.43 1:22.74 3:05.27 1117
- - 32.50 45.93 1:00.32 - 50.28 39.45 1:22.76 3:05.34 1116
10.27 20.68 32.51 45.95 1:00.34 13.73 50.31 39.46 1:22.79 3:05.40 1115
- 20.69 32.52 45.96 1:00.36 13.74 50.33 39.47 1:22.82 3:05.47 1114
- - 32.53 45.98 1:00.38 - 50.35 39.49 1:22.85 3:05.54 1113
10.28 20.70 32.54 45.99 1:00.40 13.75 50.37 39.50 1:22.87 3:05.60 1112
- 20.71 32.56 46.01 1:00.42 - 50.39 39.51 1:22.90 3:05.67 1111
- - 32.57 46.02 1:00.44 13.76 50.41 39.53 1:22.93 3:05.74 1110
- 20.72 32.58 46.04 1:00.46 - 50.43 39.54 1:22.96 3:05.80 1109
10.29 20.73 32.59 46.05 1:00.47 13.77 50.45 39.55 1:22.98 3:05.87 1108
- - 32.60 46.07 1:00.49 - 50.47 39.57 1:23.01 3:05.94 1107
- 20.74 32.61 46.08 1:00.51 13.78 50.49 39.58 1:23.04 3:06.01 1106
10.30 20.75 32.62 46.10 1:00.53 - 50.51 39.59 1:23.07 3:06.07 1105
- - 32.63 46.11 1:00.55 13.79 50.53 39.61 1:23.10 3:06.14 1104
- 20.76 32.64 46.13 1:00.57 13.80 50.55 39.62 1:23.12 3:06.21 1103
10.31 20.77 32.66 46.14 1:00.59 - 50.57 39.64 1:23.15 3:06.27 1102
- - 32.67 46.16 1:00.61 13.81 50.59 39.65 1:23.18 3:06.34 1101
MEN’S SPRINTS, HURDLES AND RELAYS / HOMMES SPRINTS, HAIES ET RELAIS
8
Points 100m 200m 300m 400m 500m 110mH 400mH 4x100m 4x200m 4x400m
1100 - 20.78 32.68 46.17 1:00.63 - 50.61 39.66 1:23.21 3:06.41
1099 10.32 20.79 32.69 46.19 1:00.65 13.82 50.63 39.68 1:23.23 3:06.47
1098 - - 32.70 46.20 1:00.67 - 50.65 39.69 1:23.26 3:06.54
1097 - 20.80 32.71 46.22 1:00.69 13.83 50.67 39.70 1:23.29 3:06.61
1096 - 20.81 32.72 46.23 1:00.71 - 50.69 39.72 1:23.32 3:06.68
